scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct,purchase_factor,mid_factor,big_factor
purchase_0.9_mid_1.2_big_1.3,270.0,3.5999999999999996,15.600000000000001,9,False,1400.979346906065,1399.343638077079,1.6357088289860258,0.11689114699758453,0.9,1.2,1.3
purchase_0.9_mid_1.3_big_0.7,270.0,3.9000000000000004,8.399999999999999,8,False,1335.5537162748524,1333.9999461236664,1.5537701511859723,0.11647452878097285,0.9,1.3,0.7
purchase_0.9_mid_1.3_big_0.8,270.0,3.9000000000000004,9.600000000000001,10,True,1350.6901108643233,1350.6901108643233,0.0,0.0,0.9,1.3,0.8
purchase_0.9_mid_1.3_big_0.9,270.0,3.9000000000000004,10.8,10,True,1365.8265054537942,1365.8265054537942,0.0,0.0,0.9,1.3,0.9
purchase_0.9_mid_1.3_big_1.0,270.0,3.9000000000000004,12.0,9,False,1380.9629000432649,1380.728970107654,0.2339299356108313,0.016942494919375235,0.9,1.3,1.0
purchase_0.9_mid_1.3_big_1.1,270.0,3.9000000000000004,13.200000000000001,9,False,1396.0992946327358,1395.39848703697,0.7008075957658093,0.05022275731815681,0.9,1.3,1.1
purchase_0.9_mid_1.3_big_1.2,270.0,3.9000000000000004,14.399999999999999,9,False,1411.2356892222067,1410.068003966286,1.1676852559207873,0.0828105632236377,0.9,1.3,1.2
purchase_0.9_mid_1.3_big_1.3,270.0,3.9000000000000004,15.600000000000001,9,False,1426.3720838116774,1424.7375208956018,1.634562916075538,0.11472730184350294,0.9,1.3,1.3
purchase_1.0_mid_0.7_big_0.7,300.0,2.0999999999999996,8.399999999999999,5,False,1283.1410031051348,1267.0072048095265,16.133798295608358,1.2733785754623081,1.0,0.7,0.7
purchase_1.0_mid_0.7_big_0.8,300.0,2.0999999999999996,9.600000000000001,8,False,1298.2773976946057,1289.3888268219698,8.88857087263591,0.6893631065924526,1.0,0.7,0.8
purchase_1.0_mid_0.7_big_0.9,300.0,2.0999999999999996,10.8,9,False,1313.4137922840766,1309.0696160917232,4.344176192353416,0.3318521902084259,1.0,0.7,0.9
purchase_1.0_mid_0.7_big_1.0,300.0,2.0999999999999996,12.0,9,False,1328.5501868735473,1326.5813939280597,1.9687929454876212,0.14841101755980066,1.0,0.7,1.0
purchase_1.0_mid_0.7_big_1.1,300.0,2.0999999999999996,13.200000000000001,8,False,1343.6865814630182,1343.126405663635,0.5601757993831598,0.04170685625872856,1.0,0.7,1.1
purchase_1.0_mid_0.7_big_1.2,300.0,2.0999999999999996,14.399999999999999,9,False,1358.8229760524891,1358.1395208522272,0.6834552002619603,0.05032290053919459,1.0,0.7,1.2
purchase_1.0_mid_0.7_big_1.3,300.0,2.0999999999999996,15.600000000000001,9,False,1373.95937064196,1372.809037781543,1.1503328604169383,0.08379409144012295,1.0,0.7,1.3
purchase_1.0_mid_0.8_big_0.7,300.0,2.4000000000000004,8.399999999999999,5,False,1308.5337400107471,1295.139630774739,13.394109236008035,1.0341826408320018,1.0,0.8,0.7
purchase_1.0_mid_0.8_big_0.8,300.0,2.4000000000000004,9.600000000000001,8,False,1323.670134600218,1317.5311683322232,6.138966267994874,0.46594467102936105,1.0,0.8,0.8
purchase_1.0_mid_0.8_big_0.9,300.0,2.4000000000000004,10.8,9,False,1338.8065291896887,1337.2268287561058,1.579700433582957,0.1181325710502235,1.0,0.8,0.9
purchase_1.0_mid_0.8_big_1.0,300.0,2.4000000000000004,12.0,10,True,1353.9429237791596,1353.9429237791594,2.2737367544323206e-13,1.6793446123163078e-14,1.0,0.8,1.0
purchase_1.0_mid_0.8_big_1.1,300.0,2.4000000000000004,13.200000000000001,9,False,1369.0793183686305,1368.8638867414343,0.21543162719626707,0.015737987486038496,1.0,0.8,1.1
purchase_1.0_mid_0.8_big_1.2,300.0,2.4000000000000004,14.399999999999999,9,False,1384.2157129581012,1383.5334036707497,0.6823092873514724,0.04931643034719579,1.0,0.8,1.2
