filter_no,mid_interval_days,big_interval_days,failure_date,life_days,life_years,future_mid_count,future_big_count,purchase_cost,maintenance_cost,total_cycle_cost,annual_cost,status
A8,75,240,2027-09-07,515,1.4109589041095891,7,2,300.0,45.0,345.0,244.5145631067961,failed_within_horizon
A8,75,300,2027-09-07,515,1.4109589041095891,7,1,300.0,33.0,333.0,236.00970873786406,failed_within_horizon
A8,75,365,2027-09-07,515,1.4109589041095891,8,2,300.0,48.0,348.0,246.64077669902912,failed_within_horizon
A8,90,90,2027-09-22,530,1.452054794520548,6,5,300.0,78.0,378.0,260.3207547169811,failed_within_horizon
A8,90,120,2027-09-22,530,1.452054794520548,6,4,300.0,66.0,366.0,252.0566037735849,failed_within_horizon
A8,90,150,2027-09-22,530,1.452054794520548,6,3,300.0,54.0,354.0,243.79245283018867,failed_within_horizon
A8,90,180,2027-09-22,530,1.452054794520548,6,2,300.0,42.0,342.0,235.52830188679243,failed_within_horizon
A8,90,240,2027-09-22,530,1.452054794520548,6,2,300.0,42.0,342.0,235.52830188679243,failed_within_horizon
A8,90,300,2027-09-22,530,1.452054794520548,6,1,300.0,30.0,330.0,227.26415094339623,failed_within_horizon
A8,90,365,2027-09-22,530,1.452054794520548,6,1,300.0,30.0,330.0,227.26415094339623,failed_within_horizon
A8,105,90,2027-09-07,515,1.4109589041095891,5,5,300.0,75.0,375.0,265.7766990291262,failed_within_horizon
A8,105,120,2027-09-07,515,1.4109589041095891,5,4,300.0,63.0,363.0,257.2718446601942,failed_within_horizon
A8,105,150,2027-09-07,515,1.4109589041095891,5,3,300.0,51.0,351.0,248.76699029126212,failed_within_horizon
A8,105,180,2027-02-09,305,0.8356164383561644,3,1,300.0,21.0,321.0,384.1475409836066,failed_within_horizon
A8,105,240,2027-02-09,305,0.8356164383561644,3,1,300.0,21.0,321.0,384.1475409836066,failed_within_horizon
A8,105,300,2027-09-07,515,1.4109589041095891,5,1,300.0,27.0,327.0,231.75728155339803,failed_within_horizon
A8,105,365,2027-02-09,305,0.8356164383561644,3,0,300.0,9.0,309.0,369.78688524590166,failed_within_horizon
A8,120,90,2027-07-24,470,1.2876712328767124,4,5,300.0,72.0,372.0,288.8936170212766,failed_within_horizon
A8,120,120,2027-11-21,590,1.6164383561643836,5,4,300.0,63.0,363.0,224.5677966101695,failed_within_horizon
A8,120,150,2027-07-24,470,1.2876712328767124,4,3,300.0,48.0,348.0,270.25531914893617,failed_within_horizon
A8,120,180,2027-10-02,540,1.4794520547945205,4,3,300.0,48.0,348.0,235.22222222222223,failed_within_horizon
A8,120,240,2027-11-21,590,1.6164383561643836,5,2,300.0,39.0,339.0,209.72033898305085,failed_within_horizon
A8,120,300,2027-11-21,590,1.6164383561643836,5,1,300.0,27.0,327.0,202.29661016949152,failed_within_horizon
A8,120,365,2027-11-21,590,1.6164383561643836,5,1,300.0,27.0,327.0,202.29661016949152,failed_within_horizon
A8,150,90,2027-10-02,540,1.4794520547945205,3,6,300.0,81.0,381.0,257.52777777777777,failed_within_horizon
A8,150,120,2027-11-21,590,1.6164383561643836,4,4,300.0,60.0,360.0,222.71186440677965,failed_within_horizon
A8,150,150,2027-01-25,290,0.7945205479452054,2,1,300.0,18.0,318.0,400.2413793103448,failed_within_horizon
A8,150,180,2027-01-25,290,0.7945205479452054,2,1,300.0,18.0,318.0,400.2413793103448,failed_within_horizon
A8,150,240,2027-01-25,290,0.7945205479452054,2,1,300.0,18.0,318.0,400.2413793103448,failed_within_horizon
A8,150,300,2027-01-25,290,0.7945205479452054,2,0,300.0,6.0,306.0,385.1379310344828,failed_within_horizon
A8,150,365,2027-01-25,290,0.7945205479452054,2,0,300.0,6.0,306.0,385.1379310344828,failed_within_horizon
A9,30,90,2030-07-02,1544,4.23013698630137,52,17,300.0,360.0,660.0,156.02331606217615,failed_within_horizon
A9,30,120,2030-03-04,1424,3.9013698630136986,48,11,300.0,276.0,576.0,147.64044943820224,failed_within_horizon
A9,30,150,2029-12-04,1334,3.654794520547945,45,8,300.0,231.0,531.0,145.28860569715144,failed_within_horizon
A9,30,180,2029-11-04,1304,3.5726027397260274,44,7,300.0,216.0,516.0,144.43251533742333,failed_within_horizon
A9,30,240,2029-09-05,1244,3.408219178082192,42,5,300.0,186.0,486.0,142.59646302250803,failed_within_horizon
A9,30,300,2029-08-06,1214,3.326027397260274,41,4,300.0,171.0,471.0,141.61037891268535,failed_within_horizon
A9,30,365,2029-07-07,1184,3.243835616438356,40,3,300.0,156.0,456.0,140.57432432432432,failed_within_horizon
A9,45,90,2029-06-22,1169,3.202739726027397,26,13,300.0,234.0,534.0,166.732249786142,failed_within_horizon
A9,45,120,2029-02-07,1034,2.8328767123287673,23,8,300.0,165.0,465.0,164.1441005802708,failed_within_horizon
A9,45,150,2028-12-24,989,2.7095890410958905,22,6,300.0,138.0,438.0,161.64812942366027,failed_within_horizon
A9,45,180,2028-11-09,944,2.5863013698630137,21,5,300.0,123.0,423.0,163.5540254237288,failed_within_horizon
A9,45,240,2028-09-25,899,2.463013698630137,20,3,300.0,96.0,396.0,160.7786429365962,failed_within_horizon
A9,45,300,2028-08-11,854,2.33972602739726,19,2,300.0,81.0,381.0,162.83957845433255,failed_within_horizon
A9,45,365,2028-08-11,854,2.33972602739726,19,2,300.0,81.0,381.0,162.83957845433255,failed_within_horizon
A9,60,90,2028-12-09,974,2.6684931506849314,17,10,300.0,171.0,471.0,176.5041067761807,failed_within_horizon
A9,60,120,2028-08-11,854,2.33972602739726,15,7,300.0,129.0,429.0,183.35480093676816,failed_within_horizon
A9,60,150,2028-08-11,854,2.33972602739726,15,5,300.0,105.0,405.0,173.09718969555036,failed_within_horizon
A9,60,180,2028-08-11,854,2.33972602739726,15,4,300.0,93.0,393.0,167.96838407494147,failed_within_horizon
A9,60,240,2028-02-13,674,1.8465753424657534,12,2,300.0,60.0,360.0,194.95548961424333,failed_within_horizon
A9,60,300,2028-02-13,674,1.8465753424657534,12,2,300.0,60.0,360.0,194.95548961424333,failed_within_horizon
A9,60,365,2028-08-11,854,2.33972602739726,15,2,300.0,69.0,369.0,157.71077283372367,failed_within_horizon
A9,75,90,2028-08-11,854,2.33972602739726,12,9,300.0,144.0,444.0,189.76580796252927,failed_within_horizon
A9,75,120,2028-08-11,854,2.33972602739726,12,7,300.0,120.0,420.0,179.5081967213115,failed_within_horizon
A9,75,150,2028-08-11,854,2.33972602739726,12,5,300.0,96.0,396.0,169.2505854800937,failed_within_horizon
A9,75,180,2027-12-30,629,1.7232876712328766,9,3,300.0,63.0,363.0,210.64387917329094,failed_within_horizon
A9,75,240,2027-12-30,629,1.7232876712328766,9,2,300.0,51.0,351.0,203.6804451510334,failed_within_horizon
A9,75,300,2027-10-16,554,1.5178082191780822,8,1,300.0,36.0,336.0,221.37184115523465,failed_within_horizon
A9,75,365,2027-10-16,554,1.5178082191780822,8,1,300.0,36.0,336.0,221.37184115523465,failed_within_horizon
A9,90,90,2028-08-11,854,2.33972602739726,10,9,300.0,138.0,438.0,187.20140515222482,failed_within_horizon
A9,90,120,2028-02-13,674,1.8465753424657534,8,5,300.0,84.0,384.0,207.9525222551929,failed_within_horizon
A9,90,150,2027-11-15,584,1.6,7,3,300.0,57.0,357.0,223.125,failed_within_horizon
A9,90,180,2027-11-15,584,1.6,7,3,300.0,57.0,357.0,223.125,failed_within_horizon
A9,90,240,2027-11-15,584,1.6,7,2,300.0,45.0,345.0,215.625,failed_within_horizon
A9,90,300,2027-08-17,494,1.3534246575342466,6,1,300.0,30.0,330.0,243.8259109311741,failed_within_horizon
A9,90,365,2027-08-17,494,1.3534246575342466,6,1,300.0,30.0,330.0,243.8259109311741,failed_within_horizon
A9,105,90,2028-09-25,899,2.463013698630137,9,10,300.0,147.0,447.0,181.48498331479422,failed_within_horizon
A9,105,120,2028-09-25,899,2.463013698630137,9,7,300.0,111.0,411.0,166.86874304783092,failed_within_horizon
