mid_half_life_days,big_half_life_days,lambda_mid,lambda_big,rss,r2
45,60,0.015403270679109895,0.011552453009332421,664546.8111200682,0.8049750440344872
90,7,0.007701635339554948,0.09902102579427789,665192.2075497396,0.8047856391525875
60,30,0.011552453009332421,0.023104906018664842,670989.9027240243,0.8030841860312331
30,120,0.023104906018664842,0.0057762265046662105,675518.4069246271,0.8017552031551831
45,45,0.015403270679109895,0.015403270679109895,676355.0953355082,0.8015096596994649
60,21,0.011552453009332421,0.033007008598092635,678628.9328305623,0.8008423552298245
60,14,0.011552453009332421,0.049510512897138946,683730.4417650675,0.7993452123067659
45,30,0.015403270679109895,0.023104906018664842,688301.7300310825,0.7980036735650743
60,7,0.011552453009332421,0.09902102579427789,689819.7415763988,0.7975581817956059
30,90,0.023104906018664842,0.007701635339554948,690751.4871604912,0.7972847418535762
45,21,0.015403270679109895,0.033007008598092635,694941.3065965783,0.7960551530009127
45,14,0.015403270679109895,0.049510512897138946,699725.4610986286,0.7946511442757456
21,180,0.033007008598092635,0.003850817669777474,706497.5815265226,0.7926637259838465
45,7,0.015403270679109895,0.09902102579427789,706547.5905481839,0.7926490498059097
30,60,0.023104906018664842,0.011552453009332421,707583.7543866731,0.7923449661753919
30,45,0.023104906018664842,0.015403270679109895,715891.4016511022,0.7899069158908807
30,30,0.023104906018664842,0.023104906018664842,723238.0774976269,0.7877508824715849
30,21,0.023104906018664842,0.033007008598092635,726697.8168564561,0.7867355506622716
21,120,0.033007008598092635,0.0057762265046662105,728136.3860890683,0.7863133728765253
30,14,0.023104906018664842,0.049510512897138946,729147.3850445808,0.7860166743994869
30,7,0.023104906018664842,0.09902102579427789,734764.5178363599,0.7843682110301077
21,90,0.033007008598092635,0.007701635339554948,741380.1546797655,0.7824267160707167
21,60,0.033007008598092635,0.011552453009332421,754901.7973783592,0.778458511381825
21,45,0.033007008598092635,0.015403270679109895,760706.6936374462,0.7767549449537435
21,30,0.033007008598092635,0.023104906018664842,764547.1323138502,0.7756278890846595
